#n  DM Mass (GeV)  sigma_H  sigma_He  
0  1e-05  2.6080805032743665e-27  4.1729288052389887e-26
0  1e+03  4.2043340301659044e-24  1.0548432368582011e-21
0  1e+02  5.206533379251453e-25  1.2438427996461e-22
0  1e+00  4.6224221494862395e-26  1.961297222516469e-24
0  1e-03  1.2692526927268477e-26  2.0340584759867497e-25
0  1e-01  3.2030284231382686e-26  5.9519728609209135e-25
0  1e+01  8.04793493507756e-26  1.2896948038463194e-23
2  1e-05  4.2259224648439135e-24  6.761475943750265e-23
2  1e+02  2.1706450097798933e-18  7.742879497780422e-15
2  1e+03  1.867105650670624e-17  7.34565166739002e-14
2  1e-03  8.006825666042611e-22  1.2852010485850174e-20
2  1e-01  1.1758486359771728e-19  2.537650080824515e-18
2  1e+00  5.748139060353149e-19  6.467774936154271e-17
2  1e+01  6.999886119000598e-19  1.123507507604613e-15
-2  1e+03  1.7848047801970997e-31  2.8556876483153613e-30
-2  1e+02  1.5190931207638608e-32  2.4305489932221786e-31
-2  1e+00  4.839963347084068e-34  7.743941355334513e-33
-2  1e-01  4.1598264146344855e-34  6.655722263415181e-33
-2  1e-03  3.2837001225118618e-34  5.253920196018982e-33
-2  1e-05  3.6276592465338585e-34  5.804254794454176e-33
-2  1e+01  1.6329641525307507e-33  2.6127426440492023e-32
-4  1e+02  3.778702469892472e-40  4.0491682547105645e-40
-4  1e+03  5.3854115247446294e-39  5.4950057469076365e-39
-4  1e+00  5.959936727820819e-42  3.595901664127246e-41
-4  1e-01  3.3265647348427736e-42  4.582851604666646e-41
-4  1e+01  3.9322358185880097e-41  6.281697614262923e-41
-4  1e-03  2.1159746955792367e-42  3.380143160208608e-41
-4  1e-05  1.9295639393849663e-42  3.087302303015948e-41
